Experiment		
Time (ms)	Displacement (mm)	Displa cement (m)
0.215827338	-0.184713376	-0.000184713
0.647482014	-0.363057325	-0.000363057
1.294964029	-0.749469214	-0.000749469
1.438848921	-0.957537155	-0.000957537
1.726618705	-1.165605096	-0.001165605
2.374100719	-1.700636943	-0.001700637
2.949640288	-2.087048832	-0.002087049
3.741007194	-2.23566879	-0.002235669
4.316546763	-2.116772824	-0.002116773
4.892086331	-2.116772824	-0.002116773
5.683453237	-2.176220807	-0.002176221
6.18705036	-2.384288747	-0.002384289
6.90647482	-2.770700637	-0.002770701
7.050359712	-3.097664544	-0.003097665
7.410071942	-2.889596603	-0.002889597
7.913669065	-2.592356688	-0.002592357
8.345323741	-2.354564756	-0.002354565
8.776978417	-1.878980892	-0.001878981
9.136690647	-1.462845011	-0.001462845
9.424460432	-0.927813163	-0.000927813
9.568345324	-0.452229299	-0.000452229
10		0.082802548	 8.28E-05
10.21582734	0.498938429	0.000498938
10.50359712	0.91507431	0.000915074
10.50359712	1.390658174	0.001390658
10.86330935	1.777070064	0.00177707
11.22302158	2.193205945	0.002193206
11.58273381	2.579617834	0.002579618
11.79856115	2.906581741	0.002906582
12.30215827	3.352441614	0.003352442
12.37410072	3.768577495	0.003768577
12.6618705	4.184713376	0.004184713
13.16546763	4.481953291	0.004481953
13.5971223	4.719745223	0.004719745
14.24460432	4.898089172	0.004898089
14.89208633	5.25477707	0.005254777
15.39568345	5.492569002	0.005492569
15.68345324	5.819532909	0.005819533
16.47482014	6.057324841	0.006057325
16.69064748	6.354564756	0.006354565
17.05035971	6.651804671	0.006651805
17.41007194	6.859872611	0.006859873
17.91366906	6.978768577	0.006978769
18.20143885	6.859872611	0.006859873
18.56115108	6.503184713	0.006503185
18.63309353	6.23566879	0.006235669
18.77697842	5.878980892	0.005878981
19.0647482	5.552016985	0.005552017
19.28057554	5.25477707	0.005254777
19.35251799	4.987261146	0.004987261
19.56834532	4.630573248	0.004630573
19.78417266	4.333333333	0.004333333
19.85611511	3.917197452	0.003917197
20.14388489	3.649681529	0.003649682
20.28776978	3.292993631	0.003292994
20.28776978	3.055201699	0.003055202
20.64748201	2.966029724	0.00296603
21.15107914	2.936305732	0.002936306
21.58273381	2.728237792	0.002728238
22.08633094	2.401273885	0.002401274
22.58992806	2.014861996	0.002014862
22.8057554	1.747346072	0.001747346
22.94964029	1.50955414	0.001509554
23.16546763	1.242038217	0.001242038
23.30935252	0.91507431	0.000915074
23.5971223	0.588110403	0.00058811
23.74100719	0.350318471	0.000350318
23.88489209	-0.036093418	-3.61E-05
23.95683453	-0.363057325	-0.000363057
24.10071942	-0.630573248	-0.000630573
24.17266187	-0.987261146	-0.000987261
24.38848921	-1.195329087	-0.001195329
24.5323741	-1.64118896	-0.001641189
24.74820144	-1.908704883	-0.001908705
24.89208633	-2.23566879	-0.002235669
25.10791367	-2.503184713	-0.002503185
25.25179856	-2.681528662	-0.002681529
25.53956835	-2.949044586	-0.002949045
25.82733813	-3.186836518	-0.003186837
26.04316547	-3.42462845	-0.003424628
26.33093525	-3.573248408	-0.003573248
26.69064748	-3.81104034	-0.00381104
27.05035971	-3.959660297	-0.00395966
27.48201439	-3.870488323	-0.003870488
27.84172662	-3.662420382	-0.00366242
28.05755396	-3.335456476	-0.003335456
28.56115108	-2.949044586	-0.002949045
28.77697842	-2.681528662	-0.002681529
28.99280576	-2.354564756	-0.002354565
29.35251799	-2.027600849	-0.002027601
29.56834532	-1.789808917	-0.001789809
29.56834532	-1.492569002	-0.001492569
29.78417266	-1.106157113	-0.001106157
29.92805755	-0.86836518	-0.000868365
29.92805755	-0.511677282	-0.000511677
30.28776978	-0.214437367	-0.000214437
30.57553957	0.082802548	8.28E-05
30.86330935	0.380042463	0.000380042
31.29496403	0.677282378	0.000677282
31.79856115	0.855626327	0.000855626
32.37410072	0.796178344	0.000796178
32.8057554	0.617834395	0.000617834
33.16546763	0.469214437	0.000469214
33.66906475	0.498938429	0.000498938
34.02877698	0.796178344	0.000796178
34.17266187	1.093418259	0.001093418
34.38848921	1.331210191	0.00133121
34.67625899	1.717622081	0.001717622
34.89208633	2.074309979	0.00207431
35.4676259	2.312101911	0.002312102
36.11510791	2.668789809	0.00266879
36.47482014	3.055201699	0.003055202
36.61870504	3.263269639	0.00326327
37.12230216	3.501061571	0.003501062
37.84172662	3.501061571	0.003501062
38.27338129	3.382165605	0.003382166
38.99280576	3.292993631	0.003292994
39.49640288	3.263269639	0.00326327
40.35971223	3.203821656	0.003203822
40.57553957	3.025477707	0.003025478
41.00719424	2.847133758	0.002847134
41.43884892	2.787685775	0.002787686
42.23021583	2.757961783	0.002757962
42.44604317	2.876857749	0.002876858
42.87769784	3.08492569	0.003084926
43.30935252	3.322717622	0.003322718
43.74100719	3.560509554	0.00356051
44.17266187	3.857749469	0.003857749
44.5323741	4.036093418	0.004036093
44.96402878	4.095541401	0.004095541
45.39568345	4.244161359	0.004244161
45.61151079	4.333333333	0.004333333
46.11510791	4.27388535	0.004273885
46.61870504	4.244161359	0.004244161
46.97841727	4.333333333	0.004333333
47.1942446	4.422505308	0.004422505
47.62589928	4.511677282	0.004511677
47.91366906	4.571125265	0.004571125
48.34532374	4.541401274	0.004541401
48.56115108	4.363057325	0.004363057
49.13669065	4.06581741	0.004065817
49.64028777	3.67940552	0.003679406
49.85611511	3.411889597	0.00341189
